uuid,latitude,longitude,CLUSTER_kmeans
69387a76-b6f6-4a76-9d82-59367e14cb12,45.5522278623791,18.5383969535492,12
83fd0354-8781-4325-9139-653ba0ce718f,45.1163262907803,14.8218171526588,4
5e2f692d-a2e6-45b1-b18b-3cec90b31b64,45.4249863393101,18.7678533186361,12
b3447ea2-8ea2-4c4e-b2a8-8611c8253995,46.1545013839621,17.0570928956176,3
93c8620f-2e97-4fe1-999a-c4c423b3d878,43.651482084482,16.3238940734705,16
d2b3e614-71e0-4910-82dd-f19a767f3307,45.2952322200558,15.2518209205755,0
275ca9fb-9d73-4324-b238-88d9f68fdeaf,45.3098974720956,16.9997575941677,6
c844632c-2053-4a1c-816d-61dd2f1d0ffc,45.2069375821924,19.1513549279887,17
1a1d31ee-29a1-402b-9a84-eaf0500e6942,44.8354909550416,15.2364108904414,8
2f9003b4-fb10-4c7a-a05d-e107b906ee69,44.2692444248482,15.9382438139671,15
102ae7f4-33d0-46ea-827e-0df7e12e1393,42.6462665641679,18.1015975515134,14
041b83f0-5286-4432-806e-4d64a7066bbc,45.4821586934661,18.1476650174044,1
62c80ed4-2d4a-4357-907f-4d61c1936ec0,45.9569192,16.1174669,10
b5d44460-9969-4639-88f3-beae2a43a74a,45.7467711,18.2883074,1
63912081-f7c8-49c1-818a-dc12c844cf67,44.5423030483105,15.0675774428891,8
b814b188-bf15-4ab1-b5ca-1d5b7a3bbc83,45.4639240185322,16.4961875349356,13
b3ff9bb4-91c9-4cbe-b5fd-13f10e0bcb36,45.7225644383254,15.9241335627291,10
070086ee-5e80-4637-a8e3-14da0e4d4900,45.3609156178163,15.0589307396622,0
75a56f94-dcba-41ce-877e-e8bc9c852c07,44.9305092439157,18.9236253342735,17
6ed39af5-8f9e-48cf-9dea-f5b8c02b588a,45.6332298,18.6072235,12
9e39ba63-f959-471a-8ae2-35e333119dee,45.4242358850085,18.8345632936379,17
a8094b58-211d-4a28-9500-fe156a1cd979,45.4442449248374,14.3455815340815,4
1ec8e9f7-c8ac-47f6-807e-b3ea647ec34e,45.5697489355163,17.7167005776793,11
a5c55af3-9fe6-4787-94b8-76949bce3c22,43.8065321,15.5903654,5
2a4d4844-15ea-4845-b206-97df98803cae,45.9008148419648,16.7002579555919,3
8323a98f-e645-4684-8fc6-bddcd82f911d,43.7948287767834,16.0724154526202,16
05fe3cb0-67eb-41c2-9eb2-29cb8ee2c370,44.963420252508,15.3692175122553,8
b6b28772-a81b-4917-9e95-f9875ecd312f,45.279367109858,17.4285897130812,11
48890406-4b5b-4263-ba70-c4e168df8516,45.4047191863408,18.8223424763489,17
e97c3b84-d4e3-45e3-bf0c-e9dc8cb88f1f,43.7819755253511,15.7275016979474,5
7e5ec877-48c2-44fa-8683-f14148409dcc,45.1349245440543,15.6398018304582,7
a8347b82-cf50-41d6-ab8c-ff3e4a058382,45.603951506067,18.0813538119166,1
